Wavelength(microns),Rplanet/Rstar,source_x_pixel,source_y_pixel,pixel_trace_interpolated
3.438630628,0.1434417114,774,504,True
3.439994282,0.1433757085,775,509.5,True
3.441357935,0.1433097057,776,515,False
3.442721588,0.1433097057,777,515,False
3.444085242,0.1432857046,778,517,False
3.445448895,0.1433197061,779,514.1666667,True
3.446812548,0.1433537076,780,511.3333333,True
3.448176202,0.143387709,781,508.5,True
3.449539855,0.1434217105,782,505.6666667,True
3.450903508,0.143455712,783,502.8333333,True
3.452267162,0.1434897135,784,500,True
3.453630815,0.1435237149,785,497.1666667,True
3.454994468,0.1435577164,786,494.3333333,True
3.456358121,0.1435917179,787,491.5,False
3.457721775,0.1435917179,788,491.5,False
3.459085428,0.1435437158,789,495.5,True
3.460449081,0.1434957137,790,499.5,True
3.461812735,0.1434477116,791,503.5,True
3.463176388,0.1433997096,792,507.5,True
3.464540041,0.1433517075,793,511.5,True
3.465903695,0.1433037054,794,515.5,True
3.467267348,0.1432557033,795,519.5,False
3.468631001,0.1432677039,796,518.5,False
3.469994655,0.1432800794,797,517.46875,True
3.471358308,0.1432924549,798,516.4375,True
3.472721961,0.1433048305,799,515.40625,True
3.474085615,0.143317206,800,514.375,True
3.475449268,0.1433295815,801,513.34375,True
3.476812921,0.1433419571,802,512.3125,True
3.478176575,0.1433543326,803,511.28125,True
3.479540228,0.1433667081,804,510.25,True
3.480903881,0.1433790837,805,509.21875,True
3.482267534,0.1433914592,806,508.1875,True
3.483631188,0.1434038347,807,507.15625,True
3.484994841,0.1434162103,808,506.125,True
3.486358494,0.1434285858,809,505.09375,True
3.487722148,0.1434409613,810,504.0625,True
3.489085801,0.1434533369,811,503.03125,True
3.490449454,0.1434657124,812,502,False
3.491813108,0.1434777129,813,501,False
3.493176761,0.1434645874,814,502.09375,True
3.494540414,0.1434514618,815,503.1875,True
3.495904068,0.1434383362,816,504.28125,True
3.497267721,0.1434252107,817,505.375,True
3.498631374,0.1434120851,818,506.46875,True
3.499995028,0.1433989595,819,507.5625,True
3.501358681,0.143385834,820,508.65625,True
3.502722334,0.1433727084,821,509.75,True
3.504085988,0.1433595828,822,510.84375,True
3.505449641,0.1433464573,823,511.9375,True
3.506813294,0.1433333317,824,513.03125,True
3.508176947,0.1433202061,825,514.125,True
3.509540601,0.1433070806,826,515.21875,True
3.510904254,0.143293955,827,516.3125,True
3.512267907,0.1432808294,828,517.40625,True
3.513631561,0.1432677039,829,518.5,False
3.514995214,0.1432677039,830,518.5,False
3.516358867,0.143363708,831,510.5,True
3.517722521,0.1434597122,832,502.5,False
